traversal,colors
curious to thoughtful,"brown, gold, orange, pink"
angry to soft,"red, blue, gold, purple"
soft to protective,"purple, red, orange"
intelligent to hesitant,"red, brown, grey"
lost to open,"green, grey, nude, red, purple"
joy to new,"purple, orange, pink"
distrust to thoughtful,"pink, nude, orange, purple, red"
happy to resistant,"purple, pink, yellow, red"
productive to messy,"grey, brown, nude"
strict to neutral,"black, red, white"
drain to rise,"brown, pink, gold, purple, nude, blue"
attached to objective,"grey, green, black, yellow"
stuck to escape,"orange, red, yellow, purple, orange"
sad to abundant,"white red green, purple, orange"
cocky to observant,"yellow, brown, green"
it to self,"magenta, pink, geen, blue, teal"
toussaint louverture,"black, red, green, blue, green, red"
