color,r,g,b,matrice1,matrice,english-words,sound,digit,,,,,,,,,,,,,,,,,
grey,170,170,170,Cover,lose,respectful effective apposite precary,muffle,q,,,,,,,,,,,,,,,,,
pink,250,0,90,Category,place,incredibily exquisite and ambitious,pause,e,,,,,,,,,,,,,,,,,
gold,250,200,0,Pull,hide,undepartable preflorating technocracy lotiform,happy jingle,d,,,,,,,,,,,,,,,,,
nude,250,180,120,Approach,jump,felicitously deft satisfied unextenuable,melody,j,,,,,,,,,,,,,,,,,
orange,250,110,0,Hit,drop,blurry artesian awesome,negative cadence,kt,,,,,,,,,,,,,,,,,
white,255,255,255,Hope,block,unlavish analeptical,clangy jingle,1,,,,,,,,,,,,,,,,,
blue,0,0,255,Collect,glean,"daintily perfect, intelligent photopathy",harmony,2,,,,,,,,,,,,,,,,,
green,0,255,0,Transition,grow,bulbous spontaneous heroic,song,3,,,,,,,,,,,,,,,,,
red,255,0,0,Limit,cry,"candid apophantic, distinct and radiant",dramatic pause,4,,,,,,,,,,,,,,,,,
black,0,0,0,Order,scale,undertreated paleoatavistic obeyable swabble,rumble,5,,,,,,,,,,,,,,,,,
brown,180,50,0,Learn,shrink,abundantly notable and unique submissive,down tone,6,,,,,,,,,,,,,,,,,
yellow,255,255,0,Structure,array,exhilerating redressible authority plausible,up tone,8,,,,,,,,,,,,,,,,,
purple,180,50,255,Free,cheer,"perfectly great - imaginative, brave, gifted",positive cadence,9,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
pathway,colors,sequence,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23
knot,"white, blue, green, red, black, brown, yellow, purple",let's,maybe,clarify,the,white-pathway,with,blue-pathway,from,green-pathway.,The,red-pathway,will,melt,with,black-pathway,from,brown-pathway,due,to,yellow-pathway,for,purple-pathway.,,
plot,"grey, pink, gold, nude, orange",let's,maybe,set,the,grey-pathway,from,the,pink-pathway,and,the,gold-pathway,to,return,a,nude-pathway,and,an,orange-pathway.,,,,,,
pain,"gold, orange",let's,maybe,use,inspiration,from,clarity,and,distribution,from,gold-pathway,to,address,the,pain,from,the,orange-pathway,as,from,the,world,of,a,return.
practical,"yellow, green",let's,maybe,use,our,energy,from,work,to,achieve,the,yellow-pathway,for,the,green-pathway.,,,,,,,,,,
spiritual,"blue, brown",let's,maybe,blue-pathway,with,brown-pathway.,,,,,,,,,,,,,,,,,,,
prayer,"nude, white",let's,maybe,nude-pathway,our,white-pathway.,,,,,,,,,,,,,,,,,,,
sad,"purple, grey, red",let's,maybe,use,the,freedom,from,purple-pathway,to,grey-pathway,for,red-pathway,awareness.,,,,,,,,,,,,
precise,"pink, black",let's,maybe,give,openness,from,the,pink-pathway,to,black-pathway.,,,,,,,,,,,,,,,
feminine,"brown, gold, orange, pink",let's,maybe,use,brown-pathway,to,gold-pathway,the,pain,of,the,orange-pathway,as,a,new,pink-pathway.,,,,,,,,,
masc,"red, blue, orange",let's,maybe,use,awareness,from,the,red-pathway,to,blue-pathway,to,address,the,pain,from,the,orange-pathway,as,a,seed,for,a,return.,,
direct,"red, orange",let's,maybe,use,gratitude,from,a,return,and,inspiration,from,clarity,to,limit,from,red-pathway,the,pain,from,orange-pathway.,,,,,
curious to thoughtful,"brown, gold, orange, pink",let's,maybe,use,brown-pathway,to,gold-pathway,the,orange-pathway,pink-pathway.,,,,,,,,,,,,,,,
angry to soft,"red, blue, gold, purple",let's,maybe,clarify,red-pathway,with,blue-pathway,as,gold-pathway,purple-pathway.,,,,,,,,,,,,,,,
soft to protective,"purple, red, orange",let's,maybe,give,purple-pathway,from,red-pathway,a,new,orange-pathway.,,,,,,,,,,,,,,,
intelligent to hesitant,"red, brown, grey",let's,maybe,clarify,red-pathway,with,brown-pathway,as,grey-pathway.,,,,,,,,,,,,,,,,
lost to open,"green, grey, nude, red, purple",let's,maybe,set,the,green-pathway,on,the,grey-pathway,for,nude-pathway,with,red-pathway,for,purple-pathway.,,,,,,,,,,
joy to new,"purple, orange, pink",let's,maybe,set,the,purple-pathway,as,orange-pathway,to,address,the,pink-pathway.,,,,,,,,,,,,,
distrust to thoughtful,"pink, nude, orange, purple, red",let's,maybe,pink-pathway,as,nude-pathway,to,orange-pathway,as,purple-pathway,due,to,red-pathway.,,,,,,,,,,,,
happy to resistant,"purple, pink, yellow, red",let's,maybe,purple-pathway,as,pink-pathway,to,yellow-pathway,red-pathway.,,,,,,,,,,,,,,,,
productive to messy,"grey, brown, nude",let's,maybe,grey-pathway,the,brown-pathway,nude-pathway.,,,,,,,,,,,,,,,,,,
strict to neutral,"black, red, white",let's,maybe,give,black-pathway,red-pathway,with,white-pathway.,,,,,,,,,,,,,,,,,
drain to rise,"brown, pink, gold, purple, nude, blue",let's,maybe,give,brown-pathway,pink-pathway,due,to,gold-pathway,with,purple-pathway,nude-pathway,as,blue-pathway.,,,,,,,,,,,
attached to objective,"grey, green, black, yellow",let's,maybe,give,grey-pathway,green-pathway,with,black-pathway,yellow-pathway.,,,,,,,,,,,,,,,,
